,name,artists,genre,spotifyID
0,Dirty Paws,['Of Monsters and Men'],acoustic,5g7rJvWYVrloJZwKiShqlS
1,Om du letar efter nån,['Melissa Horn'],acoustic,5SdG78xwNRsjXmFGhm9Z8D
2,Details in the Fabric (feat. James Morrison),"['Jason Mraz', 'James Morrison']",acoustic,7EvZucbeXRDEwT4cFpHEi8
3,Last Kiss (feat. Megan & Liz),"['Boyce Avenue', 'Megan & Liz']",acoustic,1QHXkafFgR9Woo98nlm4Z6
4,Believe,['Justin Bieber'],acoustic,6akbXZeXdrWWsG77ZD3cuD
5,Whisper the Answer,['Gregory and the Hawk'],acoustic,1KzxgnTo2nKbuiTlJPKCjc
6,Angel,['Sarah McLachlan'],acoustic,3xZMPZQYETEn4hjor3TR1A
7,"A Girl, a Boy, and a Graveyard",['jeremy messersmith'],acoustic,74XzT6sJuCIw0Py539SNQR
8,Hey There Delilah,"[""Plain White T's""]",acoustic,7z7fquRFQFXt4Dj7ouWETq
9,Come As You Are,['Nirvana'],acoustic,4yzgjSHWy5E8fKflgwaKQh
10,Private Investigations - Edit,['Dire Straits'],acoustic,6jzWyXK9O7DoNWYRN99NMV
11,Gone Tomorrow,['The Staves'],acoustic,11gqufRVufobe8jGNHmibY
12,Love The Way You Lie - Part III (Original Demo),['Skylar Grey'],acoustic,7jPumBvn7m7l3nolkML3cZ
13,Through Glass,['Stone Sour'],acoustic,76aadnUFFANRNDs6L3aqxw
14,Where The Streets Have No Name - Unplugged,['Thirty Seconds To Mars'],acoustic,2Gy3tEwecEcO45QDNtiAti
15,Old Pine,['Ben Howard'],acoustic,0Qw7qGuXlVBZLcfoQ17yZn
16,On My Way,['Boyce Avenue'],acoustic,3U9FMzSjrXFS0AnElgcw0j
17,Tainted Love,['Hannah Peel'],acoustic,1SZ63wN0pk18Dr4Epyhcsf
18,Send Me on My Way,['Rusted Root'],acoustic,0VRWmkhxjjERPMMbZEOcDo
19,Gone,['The Show Ponies'],acoustic,5xZV3jkOFbKLH7ywEqGORA
20,Ja Funmi,['King Sunny Ade'],afrobeat,7LLyEy0GVYBpziR5O06ZZv
21,yündüya Weyu (The Sun Has Set),['Umalali'],afrobeat,06GqSgEaeeoL5SzqA0aCvo
22,Bikowa,['Orchestra Baobab'],afrobeat,0IUYTmVDq3tmohilYghzt5
23,The Naughty Little Flea,['Miriam Makeba'],afrobeat,4ItY4KOgTTHcyOjzbGx4Ip
24,Tonight,['Burna Boy'],afrobeat,3aE0O99WPzRZ0UeSX9Boan
25,Trower,['P-Square'],afrobeat,0jzaVvnxi30cWmcMPl5GDX
26,Mole,['Sam Fan Thomas'],afrobeat,1L7EfY9OZnNSX24HMn7aI4
27,Kukere (Master),['Iyanya'],afrobeat,1PlLwvh1N9GPTuFT16JBez
28,Yoruba,['King Sunny Ade'],afrobeat,5OprIO7jAo89hAeX5lpI2w
29,Matadjem Yinmixan,['Tinariwen'],afrobeat,7yeTvvLA54txVj2LPulf9Y
30,If to Say,['Timaya'],afrobeat,60sz0jcrIVGFvYsXL5IYT6
31,He Lives In You,['Lebo M.'],afrobeat,6HU2JMDi3RrEt02WJJZOio
32,Coulibaly,['Amadou & Mariam'],afrobeat,69BsoeZ9rmSVfQTnMIoWlg
33,All the Same,['Vieux Farka Touré'],afrobeat,1nwWS19NmjdNr4IlMuvRWX
34,Kadi Kadi,"['Ali Farka Touré', 'Toumani Diabaté']",afrobeat,2DrGFzrWGzAaIV3Q6vBOdC
35,Call Me Maybe,['Carly Rae Jepsen'],afrobeat,5unfeZUhKhICP73CDYBW4N
36,Tekere,['Salif Keita'],afrobeat,6O0P38dfkVUtTCRSgMEUPW
37,International Love (feat. Chris Brown),"['Pitbull', 'Chris Brown']",afrobeat,62zFEHfAYl5kdHYOivj4BC
38,Djuru,['Amadou & Mariam'],afrobeat,3oJOtvPbyOqRPlFvspQP3o
39,Shagu,['Mulatu Astatke'],afrobeat,3z4y2ScH8vWAgwUUTZ5SJd
40,Impossible Germany,['Wilco'],alt-rock,6L0BBPYeWnaQJeDa0ox0IA
41,Yesterday Once More,['Redd Kross'],alt-rock,3G0kzHUQGkhgWurrYEOQKd
42,You're On Fire,['They Might Be Giants'],alt-rock,1WqMWVafmQbUPFOQfuszFC
43,Subconscious Life,['Self'],alt-rock,6rARMNQLjwdlBMb9BGrrAZ
44,Bellbottoms,['The Jon Spencer Blues Explosion'],alt-rock,1zOe3hc0NEaynHhXGZq83I
45,Swerve City,['Deftones'],alt-rock,3RVz8wD8Bln7Vanl6f4ixY
46,Song 2,['Blur'],alt-rock,68dF2fJhETbjO3BVr3WUHo
47,Taste You,['Melissa Auf der Maur'],alt-rock,5gXxrbZdRTf1kP0IvgsONG
48,Nearly Lost You,['Screaming Trees'],alt-rock,3dN6yDtyNu55dqoygX4AQ5
49,Loud Like Love,['Placebo'],alt-rock,17Wi8MMziNIpKRgXGx6TjP
50,If the River Was Whiskey,['Spin Doctors'],alt-rock,1Fx2xsBMTwd8aHETKE2mOn
51,Where I'm From,['Eels'],alt-rock,5s8zZQ9G7XOoJygkfCHQ2h
52,New York City,['Lenny Kravitz'],alt-rock,37jBx9nJ0XBg9rCtrkTI4D
53,Tropical Ice-land,['The Fiery Furnaces'],alt-rock,72HFZtXCLcRwYYQO0kJIvi
54,Bright Yellow Gun,['Throwing Muses'],alt-rock,3Bu9QGKHQrtsWS5CoS1dbl
55,You and Me,['Luscious Jackson'],alt-rock,5Wom2duXOmf0RzOG9c27QZ
56,Liar,['Built To Spill'],alt-rock,5EBDvc4cX8tqalRFGRwm7A
57,Temptation Eyes,['Blake Babies'],alt-rock,0tSSoikrj4Gprv5IEqCVlU
58,Total Immersion,['Polvo'],alt-rock,0CZ48zSBAXNplab4I4T4NN
59,Natural Disasters,['Enon'],alt-rock,1pY4gr59pqvIdJh2RGjeDg
